,Date,Deaths,Injuries,Description,City,State,Latitude,Longitude
0,2000-02-29,1,0,"Shooting of Kayla Rolland: At Buell Elementary School, a 6-year-old boy fatally shot 6-year-old classmate Kayla Rolland. To date, the boy is the youngest documented fatal school shooter. See August 22, 2013 below.",Flint, Michigan,43.01889,-83.69333
1,2000-05-26,1,0,"13-year-old honor student, Nathaniel Brazill, was sent home for throwing water balloons, but returned to his Lake Worth Middle School with a family pistol. He fatally shot teacher Barry Grunow, a popular teacher and Brazill's favorite.",Lake Worth, Florida,26.61972,-80.05861
2,2000-06-28,2,0,"58-year-old Director of the Division of Pathology of the University of Washington Medical Center, Rodger C. Haggitt, was shot dead by 42-year-old Taiwanese emigrant and then-U.S. citizen, Jian Chen, who had just completed his second year of forensic pathology residency training and had been notified of his contract non-renewal (which Chen wrote would dishonor his family). Chen then committed suicide. In 2001 the Rodger C. Haggitt Gastrointestinal Pathology Society was named in memory of Dr. Haggitt.",Seattle, Washington,47.60972,-122.33306
3,2000-08-28,2,0,"36-year-old James Easton Kelly, a PhD candidate in Comparative Literature at University of Arkansas, killed 67-year-old John R. Locke, the English professor overseeing his coursework. Kelly had been dismissed from this PhD program for lack of progress toward his degree. Kelly shot Locke three times before committing suicide in the director's office, which had been isolated by campus police.",Fayetteville, Arkansas,36.0625,-94.1575
4,2000-09-26,0,2,"13 year-olds Darrel Johnson, and Alfred Anderson were initially charged with attempted first-degree murder in the shooting of 15 year-old William Pennington. Pennington, after being shot, managed to gain control of the gun and shoot Johnson in the back. Charges were later reduced to Aggravated Battery.",New Orleans, Louisiana,29.95,-90.08
5,2000-12-01,0,1,"A 15-year-old Junipero Serra High School student who showed off a handgun on campus and threatened to shoot a classmate, ended up accidentally shooting himself, causing minor injuries.",San Diego, California,32.715,-117.1625
6,2001-03-05,2,13,"Santana High School shooting: 15-year-old student, Charles Andrew Williams, killed two students, 14-year-old Bryan Zuckor, and 15-year-old Randy Gordon, at Santana High School and wounded thirteen others. He was arrested and convicted of murder and attempted murder. He was sentenced to life with the chance of parole after serving fifty years.",Santee, California,32.86972,-116.97111
7,2001-03-07,0,1,"14-year-old student, Elizabeth Catherine Bush, wounded fellow student Kimberly Marchese in the cafeteria of Bishop Neumann High School. Bush was released in 2004.",Williamsport, Pennsylvania,41.24444,-77.01861
8,2001-05-16,2,0,40-year-old music instructor and organist James D. Holloway was shot multiple times with a .22-caliber handgun at Pacific Lutheran University by a 55-year-old man from Tacoma. The shooter was not a student or employee of the university and also killed himself. The victim was apparently chosen at random as the shooter had a personal dispute with a different staff member who was not on campus that day.,Parkland, Washington,47.14111,-122.43778
9,2001-03-22,0,5,"18-year-old former student, Jason Hoffman, opened fire at Granite Hills High School, injuring five people. He was convicted of assault and sentenced to prison, where he committed suicide in 2002.",El Cajon, California,32.79833,-116.96
